timestamp,src_ip,dst_ip,method,payload,flag
1312180650.454022,10.33.6.101,10.33.6.102,INVITE,Timestamps,
1312180650.478746,10.33.6.102,10.33.6.101,,Timestamps,Unusual SIP method
1312180650.49027,10.33.6.102,10.33.6.100,INVITE,Timestamps,
1312180650.530925,10.33.6.100,10.33.6.102,,Timestamps,Unusual SIP method
1312180650.549798,10.33.6.100,10.33.6.102,,Timestamps,Unusual SIP method
1312180650.575615,10.33.6.102,10.33.6.101,,Timestamps,Unusual SIP method
1312180651.162108,10.33.6.100,10.33.6.102,,Timestamps,Unusual SIP method
1312180651.179161,10.33.6.102,10.33.6.101,,Timestamps,Unusual SIP method
1312180651.201173,10.33.6.101,10.33.6.100,ACK,Timestamps,
1312180653.411284,10.33.6.100,10.33.6.101,BYE,Timestamps,
1312180653.424145,10.33.6.101,10.33.6.100,,Timestamps,Unusual SIP method
